"suppl_name";"buyer_name";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
ГРАН-МЭР;Лента;168;0;167;167;0.0000;0.9940;0.9940
Елецкий мясокомбинат;"Торговый дом ""ПЕРЕКРЕСТОК";1663;1658;1655;1653;0.9970;0.9952;0.9940
КУХМАСТЕР;"Торговый дом ""ПЕРЕКРЕСТОК";166;166;164;165;1.0000;0.9880;0.9940
М-Дистрибьюшн;Петроторг;163;0;162;162;0.0000;0.9939;0.9939
Тортила;Лента;328;0;327;326;0.0000;0.9970;0.9939
Золотая Семечка;"Торговый дом ""ПЕРЕКРЕСТОК";161;132;154;160;0.8199;0.9565;0.9938
Казанский хлебозавод №3;Торговый Дом «Камилла;638;0;613;634;0.0000;0.9608;0.9937
"Фирма ""ЛИРОНАС";Лента;153;46;153;152;0.3007;1.0000;0.9935
Хэлп+;Лента;310;0;309;308;0.0000;0.9968;0.9935
Княгининское молоко;"Торговый дом ""ПЕРЕКРЕСТОК";10192;10124;10126;10125;0.9933;0.9935;0.9934
Дэма;"Торговый дом ""ПЕРЕКРЕСТОК";898;0;0;892;0.0000;0.0000;0.9933
Ярославский хлебозавод № 4;Лента;148;146;146;147;0.9865;0.9865;0.9932
Бутербродная компания;Виктория Балтия;728;0;0;723;0.0000;0.0000;0.9931
Дантон-Птицепром;Лента;290;0;288;288;0.0000;0.9931;0.9931
Дело;Лента;705;0;0;700;0.0000;0.0000;0.9929
Молочный комбинат Авида;ДИКСИ ЮГ;140;0;139;139;0.0000;0.9929;0.9929
ЛОРИ ГРУПП;Лента;141;0;141;140;0.0000;1.0000;0.9929
ТОСОЛ-СИНТЕЗ ТРЕЙДИНГ;Лента;421;0;418;418;0.0000;0.9929;0.9929
Новгородхлеб;"Торговый дом ""ПЕРЕКРЕСТОК";2945;2929;2792;2924;0.9946;0.9480;0.9929
ТПК Вилон;Т и К Продукты;556;555;555;552;0.9982;0.9982;0.9928
Ладья;Лента;699;0;698;694;0.0000;0.9986;0.9928
ДИАРИТ;ТАНДЕР;138;138;138;137;1.0000;1.0000;0.9928
СДС-ФУДС;ТАНДЕР;137;137;133;136;1.0000;0.9708;0.9927
М-Дистрибьюшн;"Торговый Дом ""РеалЪ";274;0;274;272;0.0000;1.0000;0.9927
Батраков А. В.;"Торговый дом ""ПЕРЕКРЕСТОК";269;267;267;267;0.9926;0.9926;0.9926
Белые Горы;"Торговый дом ""ПЕРЕКРЕСТОК";1597;777;13;1585;0.4865;0.0081;0.9925
Красноярское молоко;Лента;667;0;667;662;0.0000;1.0000;0.9925
Молоко;"Торговый дом ""ПЕРЕКРЕСТОК";1739;1733;1723;1726;0.9965;0.9908;0.9925
"ТД ""Вкусные консервы";ТАНДЕР;126;126;126;125;1.0000;1.0000;0.9921
Русскарт-Сити;"Торговый дом ""ПЕРЕКРЕСТОК";127;126;126;126;0.9921;0.9921;0.9921
УНИВЕРКОМ;ТАНДЕР;126;126;126;125;1.0000;1.0000;0.9921
Круг;СКБ Контур;377;0;372;374;0.0000;0.9867;0.9920
КАРАВАЙ;"Торговый дом ""ПЕРЕКРЕСТОК";90753;48;36313;90024;0.0005;0.4001;0.9920
Саратовский хлебокомбинат им. Стружкина;"Торговый дом ""ПЕРЕКРЕСТОК";3979;0;3766;3947;0.0000;0.9465;0.9920
Регион-Трейд;КОРУС Консалтинг СНГ;125;0;124;124;0.0000;0.9920;0.9920
Дубрава Фудс;Т и К Продукты;123;122;122;122;0.9919;0.9919;0.9919
Ванта;"Торговый дом ""ПЕРЕКРЕСТОК";1854;1798;1780;1839;0.9698;0.9601;0.9919
Даниловские сыры;"Торговый дом ""ПЕРЕКРЕСТОК";2448;2434;2432;2428;0.9943;0.9935;0.9918
МВВ;Торговый Дом «Камилла;611;596;611;606;0.9755;1.0000;0.9918
МВВ;ПродМир;840;833;833;833;0.9917;0.9917;0.9917
Садовый Рай;Лента;121;0;0;120;0.0000;0.0000;0.9917
ДВА КАПИТАНА;Лента;119;0;118;118;0.0000;0.9916;0.9916
Адзинова Аминат Магометовна;"Торговый дом ""ПЕРЕКРЕСТОК";348;345;345;345;0.9914;0.9914;0.9914
БКК Коломенский;ПродМир;1505;1468;1474;1492;0.9754;0.9794;0.9914
Море продуктов;Лента;349;0;345;346;0.0000;0.9885;0.9914
АИДИ и К;Лента;113;0;113;112;0.0000;1.0000;0.9912
ТД Слада;"Торговый дом ""ПЕРЕКРЕСТОК";3829;0;3792;3795;0.0000;0.9903;0.9911
Тульский молочный комбинат;Гиперглобус;335;0;0;332;0.0000;0.0000;0.9910
ЛК Дистрибуция;Виват-трейд;111;0;110;110;0.0000;0.9910;0.9910
ЕМЗ;Лента;219;27;218;217;0.1233;0.9954;0.9909
Тахтамир А.А.;Солнечный круг;109;0;0;108;0.0000;0.0000;0.9908
Торговый дом «Мегаполис;Роздухов Максим Евгеньевич;218;52;52;216;0.2385;0.2385;0.9908
КАРАВАЙ;ДИКСИ ЮГ;19622;0;0;19440;0.0000;0.0000;0.9907
НОВАЯ СТОЛИЦА;ПродМир;323;321;321;320;0.9938;0.9938;0.9907
ВИТАМИКС;"Торговый дом ""ПЕРЕКРЕСТОК";323;321;318;320;0.9938;0.9845;0.9907
Мороз;Лента;106;0;104;105;0.0000;0.9811;0.9906
Останкино-новый стандарт;Розничная сеть Зельгрос;106;0;105;105;0.0000;0.9906;0.9906
Золотая Семечка;ТАНДЕР;106;106;104;105;1.0000;0.9811;0.9906
Ваш Хлеб;"Торговый дом ""ПЕРЕКРЕСТОК";10578;0;7004;10478;0.0000;0.6621;0.9905
Устюженский хлебозавод;ДИКСИ ЮГ;317;0;0;314;0.0000;0.0000;0.9905
ПЕКАРЪ;Элемент-Трейд;1481;1469;1469;1467;0.9919;0.9919;0.9905
КАРАВАЙ;Паляница;2500;0;2433;2476;0.0000;0.9732;0.9904
Венеция;Солнечный круг;103;0;102;102;0.0000;0.9903;0.9903
Август;Лента;103;103;103;102;1.0000;1.0000;0.9903
Белов Владимир Геннадьевич;Торговый Дом «Камилла;103;89;83;102;0.8641;0.8058;0.9903
Балтком Юни;Лента;103;0;102;102;0.0000;0.9903;0.9903
Ника Северо-Запад;ТАНДЕР;100;100;99;99;1.0000;0.9900;0.9900
МВВ;Лента;1601;0;1593;1585;0.0000;0.9950;0.9900
ТД РОССИЧ;КОРУС Консалтинг СНГ;100;0;0;99;0.0000;0.0000;0.9900
ЭРА-98;Лента;198;198;198;196;1.0000;1.0000;0.9899
ДЕЛЕНАК;"Торговый дом ""ПЕРЕКРЕСТОК";99;91;2;98;0.9192;0.0202;0.9899
Казанский хлебозавод №3;ОПТОВИК;2387;0;192;2363;0.0000;0.0804;0.9899
Хлебокомбинат;Лента;199;0;199;197;0.0000;1.0000;0.9899
Флорида;ТАНДЕР;199;0;0;197;0.0000;0.0000;0.9899
Самарский кондитер;"Торговый дом ""ПЕРЕКРЕСТОК";199;198;0;197;0.9950;0.0000;0.9899
Хлебпром;Солнечный круг;196;0;186;194;0.0000;0.9490;0.9898
МПК Атяшевский;ТАНДЕР;1075;1073;67;1064;0.9981;0.0623;0.9898
Куприянова Елена Владимировна;Элемент-Трейд;1078;0;19;1067;0.0000;0.0176;0.9898
Синтез;Пятью пять;287;0;0;284;0.0000;0.0000;0.9895
Чипита Санкт-Петербург;ТАНДЕР;95;95;95;94;1.0000;1.0000;0.9895
"Производственно-коммерческая фирма ""Смак";ОПТОВИК;282;279;279;279;0.9894;0.9894;0.9894
"ТК ""Что Надо";"Торговый дом ""ПЕРЕКРЕСТОК";91;88;88;90;0.9670;0.9670;0.9890
Под парусом;ТАНДЕР;90;88;89;89;0.9778;0.9889;0.9889
МВВ;ОПТОВИК;721;721;720;713;1.0000;0.9986;0.9889
ПК Провинция;ТАНДЕР;90;86;89;89;0.9556;0.9889;0.9889
РусПрод;ОПТОВИК;90;90;88;89;1.0000;0.9778;0.9889
ЭРА МОРЯ;Элемент-Трейд;89;16;3;88;0.1798;0.0337;0.9888
Форт;"Торговый дом ""ПЕРЕКРЕСТОК";89;85;55;88;0.9551;0.6180;0.9888
Экспресс-Сервис;Элемент-Трейд;3759;3738;3734;3717;0.9944;0.9933;0.9888
Север-Метрополь;СКБ Контур;177;0;177;175;0.0000;1.0000;0.9887
Маслова и Ко;Торговый Дом «Камилла;88;88;88;87;1.0000;1.0000;0.9886
Крестьянское хозяйство Макарова И.М.;Лента;176;0;176;174;0.0000;1.0000;0.9886
СоЛЮД;ОПТОВИК;88;87;87;87;0.9886;0.9886;0.9886
Кампина;ДИКСИ ЮГ;87;87;86;86;1.0000;0.9885;0.9885
ФИРМА НЕВСКАЯ СУШКА;"Торговый дом ""ПЕРЕКРЕСТОК";172;170;161;170;0.9884;0.9360;0.9884
Кировский мясокомбинат;Лента;86;20;86;85;0.2326;1.0000;0.9884
Аскон;Т и К Продукты;86;22;85;85;0.2558;0.9884;0.9884
Барилла Рус;ТАНДЕР;86;59;86;85;0.6860;1.0000;0.9884
Тэмле+;Торговый Дом «Камилла;171;170;169;169;0.9942;0.9883;0.9883
КАРОСАД;Лента;2043;0;0;2019;0.0000;0.0000;0.9883
ПФ НЕВСКАЯ ТРАПЕЗА;"Торговый дом ""ПЕРЕКРЕСТОК";935;927;818;924;0.9914;0.8749;0.9882
Элинар-Бройлер;Авоська – два;763;728;762;754;0.9541;0.9987;0.9882
Свитлайн;"Торговый дом ""ПЕРЕКРЕСТОК";84;83;83;83;0.9881;0.9881;0.9881
ТрэйдСтор;Кораблик-Р;412;412;412;407;1.0000;1.0000;0.9879
Аква Маркет;Солнечный круг;494;490;490;488;0.9919;0.9919;0.9879
ТК Наша Игрушка ;Кораблик-Р;410;410;409;405;1.0000;0.9976;0.9878
"Торговый дом ""Кухня без границ";"Торговый дом ""ПЕРЕКРЕСТОК";82;0;82;81;0.0000;1.0000;0.9878
Союз;"Торговый дом ""ПЕРЕКРЕСТОК";164;160;160;162;0.9756;0.9756;0.9878
Черёмушки;"Торговый дом ""ПЕРЕКРЕСТОК";162;162;160;160;1.0000;0.9877;0.9877
Милком;"Торговый дом ""ПЕРЕКРЕСТОК";808;686;799;798;0.8490;0.9889;0.9876
Шебекинский маслодельный завод;"Торговый дом ""ПЕРЕКРЕСТОК";4435;0;4108;4380;0.0000;0.9263;0.9876
Щелковский МПК;"Торговый дом ""ПЕРЕКРЕСТОК";2667;2513;2633;2634;0.9423;0.9873;0.9876
Москвичёва Галина Петровна;"Торговый дом ""ПЕРЕКРЕСТОК";3014;2988;2982;2976;0.9914;0.9894;0.9874
"Торговый дом ""Лайнсервис";Лента;317;10;316;313;0.0315;0.9968;0.9874
Красноярское молоко;"Торговый дом ""ПЕРЕКРЕСТОК";472;469;468;466;0.9936;0.9915;0.9873
"ТД ""ФерЭльГам";Т и К Продукты;859;63;811;848;0.0733;0.9441;0.9872
ЯНТАРЬ;"Торговый дом ""ПЕРЕКРЕСТОК";389;0;278;384;0.0000;0.7147;0.9871
Самарский хлебозавод №5;"Торговый дом ""ПЕРЕКРЕСТОК";23079;22577;22554;22781;0.9782;0.9773;0.9871
Фабрика домашних солений;Петроторг;154;0;153;152;0.0000;0.9935;0.9870
МПК Атяшевский;Лента;1382;158;1367;1364;0.1143;0.9891;0.9870
СК-трейд;Роздухов Максим Евгеньевич;227;0;226;224;0.0000;0.9956;0.9868
Гелиос;СКБ Контур;76;0;76;75;0.0000;1.0000;0.9868
Чистая вода;Солнечный круг;225;105;170;222;0.4667;0.7556;0.9867
Останкинский молочный комбинат;"Торговый дом ""ПЕРЕКРЕСТОК";38342;11372;1133;37832;0.2966;0.0295;0.9867
Тамбовский хлебозавод;"Торговый дом ""ПЕРЕКРЕСТОК";2679;0;0;2643;0.0000;0.0000;0.9866
Бизнес;Лента;371;0;366;366;0.0000;0.9865;0.9865
ПЕТРОТРЕЙД;ТАНДЕР;74;74;74;73;1.0000;1.0000;0.9865
КОЛВИ;"Торговый дом ""ПЕРЕКРЕСТОК";147;146;145;145;0.9932;0.9864;0.9864
Томмолоко;"Торговый дом ""ПЕРЕКРЕСТОК";6627;0;6540;6537;0.0000;0.9869;0.9864
"Компания ""Хлебный Дом";"Торговый дом ""ПЕРЕКРЕСТОК";15822;15511;15080;15605;0.9803;0.9531;0.9863
"Кондитерский Дом ""Меркурий";Виктория Балтия;800;0;0;789;0.0000;0.0000;0.9863
Октябрьский хлебокомбинат;"Торговый дом ""ПЕРЕКРЕСТОК";4027;3948;3947;3971;0.9804;0.9801;0.9861
Самарский хлебозавод №5;Лента;287;0;285;283;0.0000;0.9930;0.9861
Пивной двор;Лента;72;0;72;71;0.0000;1.0000;0.9861
"МЗ ""Устюгмолоко";Роздухов Максим Евгеньевич;933;914;920;920;0.9796;0.9861;0.9861
ЛАГУНА;ТАНДЕР;72;72;72;71;1.0000;1.0000;0.9861
ХЛЕБОЗАВОД;"Торговый дом ""ПЕРЕКРЕСТОК";2303;2275;2262;2271;0.9878;0.9822;0.9861
Молвест;Солнечный круг;500;0;494;493;0.0000;0.9880;0.9860
ТД Айсберри;Гиперглобус;142;0;140;140;0.0000;0.9859;0.9859
"Кондитерская фабрика ""Нева";"Торговый дом ""ПЕРЕКРЕСТОК";71;69;1;70;0.9718;0.0141;0.9859
Морское содружество;"Торговый дом ""ПЕРЕКРЕСТОК";71;68;70;70;0.9577;0.9859;0.9859
Кировский молочный комбинат;"Торговый дом ""ПЕРЕКРЕСТОК";2609;2573;2538;2572;0.9862;0.9728;0.9858
Северное Молоко;Роздухов Максим Евгеньевич;832;784;820;820;0.9423;0.9856;0.9856
Зеленодольский хлебокомбинат;"Торговый дом ""ПЕРЕКРЕСТОК";9085;9033;9043;8953;0.9943;0.9954;0.9855
КУХМАСТЕР;ТАНДЕР;69;69;68;68;1.0000;0.9855;0.9855
Морской Бриз;ТАНДЕР;69;69;69;68;1.0000;1.0000;0.9855
Мир;"Торговый дом ""ПЕРЕКРЕСТОК";136;135;134;134;0.9926;0.9853;0.9853
Мясокомбинат Башкирские колбасы;ТАНДЕР;67;67;67;66;1.0000;1.0000;0.9851
ГринТрейд;Лента;3013;0;2974;2968;0.0000;0.9871;0.9851
ТД Метелица;СПАР МИДДЛ ВОЛГА;67;66;66;66;0.9851;0.9851;0.9851
Ижевский хлебозавод №3;Лента;67;66;66;66;0.9851;0.9851;0.9851
"АМК ""Рязанский";Лента;532;0;524;524;0.0000;0.9850;0.9850
Дельта Трейдинг;"Торговый дом ""ПЕРЕКРЕСТОК";2596;2522;2532;2557;0.9715;0.9753;0.9850
Сударушка;"Торговый дом ""ПЕРЕКРЕСТОК";66;0;0;65;0.0000;0.0000;0.9848
Пензенский хлебозавод №4;"Торговый дом ""ПЕРЕКРЕСТОК";4418;3515;4309;4351;0.7956;0.9753;0.9848
"Уфимское хлебообъединение ""Восход";"Торговый дом ""ПЕРЕКРЕСТОК";7975;7740;6845;7853;0.9705;0.8583;0.9847
Хлебозавод №2;Лента;196;0;194;193;0.0000;0.9898;0.9847
Би-энд-Би;"Торговый дом ""ПЕРЕКРЕСТОК";130;127;124;128;0.9769;0.9538;0.9846
ТК Караван;Т и К Продукты;586;0;580;577;0.0000;0.9898;0.9846
Тульский хлебокомбинат;Лента;65;61;64;64;0.9385;0.9846;0.9846
ПЕТРОТРЕЙД;"Торговый дом ""ПЕРЕКРЕСТОК";65;64;64;64;0.9846;0.9846;0.9846
ДОБРОСЛАД;"Торговый дом ""ПЕРЕКРЕСТОК";325;325;320;320;1.0000;0.9846;0.9846
РАДО;ТАНДЕР;64;64;64;63;1.0000;1.0000;0.9844
ПЕКАРЪ;Оглоблин Александр Александрович;383;376;376;377;0.9817;0.9817;0.9843
Сказка эпохи;КОРУС Консалтинг СНГ;568;10;0;559;0.0176;0.0000;0.9842
Хаме Фудс;ТАНДЕР;63;63;62;62;1.0000;0.9841;0.9841
Ижевский хлебозавод №3;ОПТОВИК;126;126;126;124;1.0000;1.0000;0.9841
Казанский хлебозавод №3;Розничная сеть Зельгрос;63;0;61;62;0.0000;0.9683;0.9841
Сортавальский хлебокомбинат;"Торговый дом ""ПЕРЕКРЕСТОК";440;433;433;433;0.9841;0.9841;0.9841
Пензенский хлебозавод №2;Лента;125;0;122;123;0.0000;0.9760;0.9840
Восьмая Империя;Гиперглобус;125;0;124;123;0.0000;0.9920;0.9840
"ТД ""ФерЭльГам";ТАНДЕР;250;250;249;246;1.0000;0.9960;0.9840
Партнер-Ярославль;"Торговый дом ""ПЕРЕКРЕСТОК";1947;0;171;1915;0.0000;0.0878;0.9836
Даниловский Хлебозавод;Гиперглобус;61;0;61;60;0.0000;1.0000;0.9836
АЛЬФА СПИН;Солнечный круг;61;0;0;60;0.0000;0.0000;0.9836
Фрэш Логистик;Торговый Дом «Камилла;61;61;61;60;1.0000;1.0000;0.9836
ПИВОВАРНЯ МОСКВА - ЭФЕС;ДИКСИ ЮГ;183;182;12;180;0.9945;0.0656;0.9836
Кинешемский хлебокомбинат;Лента;182;0;181;179;0.0000;0.9945;0.9835
Фабрика домашних солений;Лента;483;1;483;475;0.0021;1.0000;0.9834
Олива-Факел;Гиперглобус;60;0;0;59;0.0000;0.0000;0.9833
Синтез;Лента;60;60;60;59;1.0000;1.0000;0.9833
ЛЭЙН ГРАНД;КОРУС Консалтинг СНГ;2042;328;323;2008;0.1606;0.1582;0.9833
Пермский мясокомбинат;Лента;60;60;59;59;1.0000;0.9833;0.9833
Выксунский хлеб;"Торговый дом ""ПЕРЕКРЕСТОК";717;705;78;705;0.9833;0.1088;0.9833
Ассорти;КОРУС Консалтинг СНГ;59;0;59;58;0.0000;1.0000;0.9831
МАЙ;"Торговый дом ""ПЕРЕКРЕСТОК";356;0;351;350;0.0000;0.9860;0.9831
ПИВОВАРНЯ МОСКВА - ЭФЕС;Элемент-Трейд;59;58;58;58;0.9831;0.9831;0.9831
Колос-3;СПАР МИДДЛ ВОЛГА;178;177;177;175;0.9944;0.9944;0.9831
СЫРНЫЙ ДОМ;Лента;647;0;644;636;0.0000;0.9954;0.9830
Йошкар-Олинский мясокомбинат;ОПТОВИК;293;292;289;288;0.9966;0.9863;0.9829
ТД Братья Чебурашкины;Лента;232;232;229;228;1.0000;0.9871;0.9828
Максим Горький;ТАНДЕР;58;56;53;57;0.9655;0.9138;0.9828
Сидорин Дмитрий Вячеславович;СПАР МИДДЛ ВОЛГА;58;56;56;57;0.9655;0.9655;0.9828
Самарский булочно-кондитерский комбинат;Лента;174;0;171;171;0.0000;0.9828;0.9828
"Торговый Дом ""Вятский хлеб";"Торговый дом ""ПЕРЕКРЕСТОК";1837;1802;1800;1805;0.9809;0.9799;0.9826
Молочный комбинат Авида;КОРУС Консалтинг СНГ;115;0;114;113;0.0000;0.9913;0.9826
Ритэйл Бир;"Торговый дом ""ПЕРЕКРЕСТОК";115;114;0;113;0.9913;0.0000;0.9826
Ангел Наш;Кораблик-Р;57;56;56;56;0.9825;0.9825;0.9825
СКБ Контур;ДИКСИ ЮГ;57;0;0;56;0.0000;0.0000;0.9825
ТД Рузское молоко;Розничная сеть Зельгрос;57;0;56;56;0.0000;0.9825;0.9825
БЕЛГОРОДСКИЕ ОВОЩИ;КОРУС Консалтинг СНГ;57;3;0;56;0.0526;0.0000;0.9825
Фокина Людмила Евгеньевна;СПАР МИДДЛ ВОЛГА;57;0;56;56;0.0000;0.9825;0.9825
Сыйлан;"Торговый дом ""ПЕРЕКРЕСТОК";57;56;56;56;0.9825;0.9825;0.9825
Чипита Санкт-Петербург;Лента;57;0;57;56;0.0000;1.0000;0.9825
Гу.ру;ТАНДЕР;57;56;56;56;0.9825;0.9825;0.9825
Салина Трейд;СКБ Контур;401;0;395;394;0.0000;0.9850;0.9825
Экстра М;"Торговый дом ""ПЕРЕКРЕСТОК";113;110;111;111;0.9735;0.9823;0.9823
ЭРА-98;"Торговый дом ""ПЕРЕКРЕСТОК";113;111;104;111;0.9823;0.9204;0.9823
ЭкоМаркет;Лента;169;169;169;166;1.0000;1.0000;0.9822
ТД Молочное;Лента;169;1;168;166;0.0059;0.9941;0.9822
Элитфрут;ТАНДЕР;112;75;109;110;0.6696;0.9732;0.9821
Тольяттимолоко;КОРУС Консалтинг СНГ;56;0;56;55;0.0000;1.0000;0.9821
Останкино-новый стандарт;Лента;5367;147;5323;5271;0.0274;0.9918;0.9821
Сериа Систем;ТАНДЕР;111;47;94;109;0.4234;0.8468;0.9820
Владимирский хлебокомбинат;ДИКСИ ЮГ;3046;0;197;2991;0.0000;0.0647;0.9819
Торговый Дом Азия;Лента;55;55;54;54;1.0000;0.9818;0.9818
Северное Молоко;ДИКСИ ЮГ;55;0;54;54;0.0000;0.9818;0.9818
ТК Нижагросервис;Лента;220;0;218;216;0.0000;0.9909;0.9818
Ивановский бройлер;Лента;55;0;55;54;0.0000;1.0000;0.9818
МАЙ;Лента;436;0;429;428;0.0000;0.9839;0.9817
Савушкин продукт;Лента;3709;0;3636;3641;0.0000;0.9803;0.9817
ЭкоМаркет;"Торговый дом ""ПЕРЕКРЕСТОК";5411;5369;5368;5312;0.9922;0.9921;0.9817
Останкино-новый стандарт;Авоська – два;708;701;702;695;0.9901;0.9915;0.9816
Регион-Трейд;ТАНДЕР;976;970;930;958;0.9939;0.9529;0.9816
"Торговый дом ""КОРД""";Петроторг;54;0;53;53;0.0000;0.9815;0.9815
Дантон-Птицепром;СКБ Контур;918;532;564;901;0.5795;0.6144;0.9815
Алексеевский молочноконсервный комбинат;СКБ Контур;215;0;211;211;0.0000;0.9814;0.9814
"Объединение ""Союзпищепром";Лента;377;0;371;370;0.0000;0.9841;0.9814
Хлебозавод № 24;ДИКСИ ЮГ;7555;7428;7400;7414;0.9832;0.9795;0.9813
Йошкар-Олинский мясокомбинат;СКБ Контур;107;0;0;105;0.0000;0.0000;0.9813
Рус-Том;"Торговый дом ""ПЕРЕКРЕСТОК";213;0;201;209;0.0000;0.9437;0.9812
Меркурий;Лента;53;0;53;52;0.0000;1.0000;0.9811
Эвитэк;Т и К Продукты;105;0;104;103;0.0000;0.9905;0.9810
КРАСНОАРМЕЙСКИЙ ХЛЕБ;Лента;157;0;157;154;0.0000;1.0000;0.9809
Производственная компания ХлебникЪ;ДИКСИ ЮГ;577;0;0;566;0.0000;0.0000;0.9809
Междуреченское пиво;Лента;157;0;154;154;0.0000;0.9809;0.9809
Логист;КОРУС Консалтинг СНГ;52;0;52;51;0.0000;1.0000;0.9808
Свежий хлеб;Лента;52;0;51;51;0.0000;0.9808;0.9808
Концепция Вкуса;"Торговый дом ""ПЕРЕКРЕСТОК";104;102;88;102;0.9808;0.8462;0.9808
Гончарова Анна Руслановна;Барс-Ритейл;104;0;0;102;0.0000;0.0000;0.9808
Юрьев - Польский мясокомбинат;"Торговый дом ""ПЕРЕКРЕСТОК";1701;0;0;1668;0.0000;0.0000;0.9806
LeraData;ДИКСИ ЮГ;5061;1972;2379;4963;0.3896;0.4701;0.9806
Куприянова Елена Владимировна;ДИКСИ ЮГ;1850;0;180;1814;0.0000;0.0973;0.9805
БКК Коломенский;СПАР МИДДЛ ВОЛГА;257;18;18;252;0.0700;0.0700;0.9805
Молочный комбинат Авида;СКБ Контур;102;0;102;100;0.0000;1.0000;0.9804
Кампина;"Торговый дом ""ПЕРЕКРЕСТОК";304;295;280;298;0.9704;0.9211;0.9803
Компания Здоровая жизнь;"Торговый дом ""ПЕРЕКРЕСТОК";101;100;87;99;0.9901;0.8614;0.9802
Круг;СПАР МИДДЛ ВОЛГА;250;0;22;245;0.0000;0.0880;0.9800
МЕРКУРИЙ;Лента;50;0;49;49;0.0000;0.9800;0.9800
Молочная ферма;"Торговый дом ""ПЕРЕКРЕСТОК";2936;2898;2873;2877;0.9871;0.9785;0.9799
Тульский молочный комбинат;КОРУС Консалтинг СНГ;99;0;0;97;0.0000;0.0000;0.9798
Лина;"Торговый дом ""ПЕРЕКРЕСТОК";148;145;145;145;0.9797;0.9797;0.9797
ТОЛЬЯТТИХЛЕБ;Лента;393;0;384;385;0.0000;0.9771;0.9796
Леотон Трейдинг;"Торговый дом ""ПЕРЕКРЕСТОК";49;48;0;48;0.9796;0.0000;0.9796
Мясной дом БОРОДИНА;ДИКСИ ЮГ;98;98;0;96;1.0000;0.0000;0.9796
Сейма-Птица;КОРУС Консалтинг СНГ;49;43;48;48;0.8776;0.9796;0.9796
Чипита Санкт-Петербург;"Торговый дом ""ПЕРЕКРЕСТОК";294;290;290;288;0.9864;0.9864;0.9796
Мисеюк Татьяна Владимировна;ТАНДЕР;49;49;48;48;1.0000;0.9796;0.9796
Магуро;ТАНДЕР;98;97;96;96;0.9898;0.9796;0.9796
БАРС;ТАНДЕР;98;98;98;96;1.0000;1.0000;0.9796
ЭКОФУД;СПАР МИДДЛ ВОЛГА;146;47;143;143;0.3219;0.9795;0.9795
Импэкс;"Торговый дом ""ПЕРЕКРЕСТОК";97;96;68;95;0.9897;0.7010;0.9794
Останкино-новый стандарт;ПродМир;97;92;90;95;0.9485;0.9278;0.9794
Премьер;"Торговый дом ""ПЕРЕКРЕСТОК";5680;2195;16;5563;0.3864;0.0028;0.9794
А7 Агро;Лента;193;193;193;189;1.0000;1.0000;0.9793
Интегра;Торговый Дом «Камилла;242;0;0;237;0.0000;0.0000;0.9793
Славянка-Торг;ТАНДЕР;289;285;283;283;0.9862;0.9792;0.9792
ПРОДО Птицефабрика Сибирская;КОРУС Консалтинг СНГ;143;54;140;140;0.3776;0.9790;0.9790
ПЕКАРЪ;КОРУС Консалтинг СНГ;95;93;95;93;0.9789;1.0000;0.9789
ПОЛАЙС;Солнечный круг;189;0;0;185;0.0000;0.0000;0.9788
Миллениум-Регионы;СКБ Контур;94;0;0;92;0.0000;0.0000;0.9787
Филатова Юлия Владимировна;Лента;188;0;10;184;0.0000;0.0532;0.9787
Мегаполис-Продукт;"Торговый дом ""ПЕРЕКРЕСТОК";375;360;0;367;0.9600;0.0000;0.9787
ПК Профтрейд;ДИКСИ ЮГ;47;46;46;46;0.9787;0.9787;0.9787
Рузский хлебозавод;"Торговый дом ""ПЕРЕКРЕСТОК";1740;1731;1708;1703;0.9948;0.9816;0.9787
"Торговый дом ""Лайнсервис";"Торговый дом ""ПЕРЕКРЕСТОК";186;181;17;182;0.9731;0.0914;0.9785
Витаторг;Роздухов Максим Евгеньевич;93;92;91;91;0.9892;0.9785;0.9785
ПРОДО Тюменский бройлер;Лента;604;593;593;591;0.9818;0.9818;0.9785
Клинский хлебокомбинат;Ритм-2000;278;0;0;272;0.0000;0.0000;0.9784
Национальные Алкогольные Традиции;"Торговый дом ""ПЕРЕКРЕСТОК";138;108;83;135;0.7826;0.6014;0.9783
Омский бекон;КОРУС Консалтинг СНГ;184;159;184;180;0.8641;1.0000;0.9783
Первый мясокомбинат;Лента;92;92;90;90;1.0000;0.9783;0.9783
Железногорский хлебозавод;ДИКСИ ЮГ;2105;2087;2053;2059;0.9914;0.9753;0.9781
Хлебокомбинат  Георгиевский;Лента;136;0;135;133;0.0000;0.9926;0.9779
АгроСервис;"Торговый дом ""ПЕРЕКРЕСТОК";226;0;223;221;0.0000;0.9867;0.9779
Мясокомбинат Клинский;СКБ Контур;544;59;532;532;0.1085;0.9779;0.9779
ТД Эколенд;"Торговый дом ""ПЕРЕКРЕСТОК";45;35;43;44;0.7778;0.9556;0.9778
ГринТрейд;КОРУС Консалтинг СНГ;942;0;927;921;0.0000;0.9841;0.9777
Партнер;"Торговый дом ""ПЕРЕКРЕСТОК";134;130;0;131;0.9701;0.0000;0.9776
"Холдинг-Компания ""Реал";Лента;89;0;88;87;0.0000;0.9888;0.9775
РЯБА;Пятью пять;356;0;354;348;0.0000;0.9944;0.9775
