"suppl_name";"buyer_name";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
Элан Галерея;СКБ Контур;2;0;2;2;0.0000;1.0000;1.0000
"Агрокомбинат ""Южный";ДИКСИ ЮГ;11;0;10;11;0.0000;0.9091;1.0000
"Агрокомбинат ""Южный";Лента;4;0;4;4;0.0000;1.0000;1.0000
"Агрокомбинат ""Южный";Смарт Велью Ритейл;1;0;1;1;0.0000;1.0000;1.0000
Агрокомплекс Волхов;«ТК ПРОГРЕСС»;1;1;0;1;1.0000;0.0000;1.0000
Агрокомплекс Волхов;"Торговый дом ""ПЕРЕКРЕСТОК";3;2;3;3;0.6667;1.0000;1.0000
АгроМаркет;"Торговый дом ""ПЕРЕКРЕСТОК";8;8;8;8;1.0000;1.0000;1.0000
Экспресс-Сервис;Лента;214;214;214;214;1.0000;1.0000;1.0000
Экспоторг;"Торговый дом ""ПЕРЕКРЕСТОК";2;2;2;2;1.0000;1.0000;1.0000
ЭкспертЛогистик;СКБ Контур;69;63;69;69;0.9130;1.0000;1.0000
АгроОрганик;"Торговый дом ""ПЕРЕКРЕСТОК";6;0;0;6;0.0000;0.0000;1.0000
АгроПак;"Торговый дом ""ПЕРЕКРЕСТОК";47;46;0;47;0.9787;0.0000;1.0000
Агропродукт;ДИКСИ ЮГ;52;52;52;52;1.0000;1.0000;1.0000
Агропродукт;ТАНДЕР;19;19;19;19;1.0000;1.0000;1.0000
Агропродукт;"Торговый дом ""ПЕРЕКРЕСТОК";2;2;2;2;1.0000;1.0000;1.0000
АгроПром;"Торговый дом ""ПЕРЕКРЕСТОК";4;4;4;4;1.0000;1.0000;1.0000
Агропромышленная Компания Злата;ТАНДЕР;1;1;1;1;1.0000;1.0000;1.0000
АгроСервис;Лента;36;0;34;36;0.0000;0.9444;1.0000
АгроСнабРитейл;"Торговый дом ""ПЕРЕКРЕСТОК";285;0;0;285;0.0000;0.0000;1.0000
Агростандарт;"Торговый дом ""ПЕРЕКРЕСТОК";18;18;18;18;1.0000;1.0000;1.0000
Агрофирма;Виктория Балтия;4;4;4;4;1.0000;1.0000;1.0000
Агрофирма;ДИКСИ ЮГ;31;31;31;31;1.0000;1.0000;1.0000
ЭкоГрупп Терминал;"Торговый дом ""ПЕРЕКРЕСТОК";16;0;0;16;0.0000;0.0000;1.0000
"Агрофирма ""Сеймовская""";Лента;31;0;31;31;0.0000;1.0000;1.0000
Агрофирма Победа;Лента;14;0;14;14;0.0000;1.0000;1.0000
ЭкоГрупп Терминал;КОРУС Консалтинг СНГ;13;0;13;13;0.0000;1.0000;1.0000
Эковита Лимитед;Барс-Ритейл;2;0;2;2;0.0000;1.0000;1.0000
Адмирал-ПТК;Т и К Продукты;3;0;3;3;0.0000;1.0000;1.0000
Азбука Фуд Трейд;"Торговый дом ""ПЕРЕКРЕСТОК";9;0;0;9;0.0000;0.0000;1.0000
Экобум;КОРУС Консалтинг СНГ;4;4;4;4;1.0000;1.0000;1.0000
ЭКО-МИТ РУС;Лента;5;0;5;5;0.0000;1.0000;1.0000
Эко-культура-Трейд;Элемент-Трейд;2;2;2;2;1.0000;1.0000;1.0000
Эки;"Торговый дом ""ПЕРЕКРЕСТОК";26;26;26;26;1.0000;1.0000;1.0000
Академия климата;Солнечный круг;45;45;45;45;1.0000;1.0000;1.0000
Аква-Вита;СКБ Контур;1;0;0;1;0.0000;0.0000;1.0000
Аква-Вита;"Торговый дом ""ПЕРЕКРЕСТОК";34;34;29;34;1.0000;0.8529;1.0000
Эки;ГУЛЛИВЕР;2;2;2;2;1.0000;1.0000;1.0000
ЭйБиТрейд;Т и К Продукты;2;2;2;2;1.0000;1.0000;1.0000
АкваАргентум;Лента;7;3;7;7;0.4286;1.0000;1.0000
АкваАргентум;СКБ Контур;4;0;3;4;0.0000;0.7500;1.0000
Эдельвейс;Лента;143;0;143;143;0.0000;1.0000;1.0000
Аквафор Поволжье;ОПТОВИК;42;23;41;42;0.5476;0.9762;1.0000
Акиба;"Торговый дом ""ПЕРЕКРЕСТОК";55;53;55;55;0.9636;1.0000;1.0000
Эвалар;ТАНДЕР;3;3;3;3;1.0000;1.0000;1.0000
Щербаков Антон Валерьевич;КОРУС Консалтинг СНГ;127;0;127;127;0.0000;1.0000;1.0000
АККОНД;ОПТОВИК;90;17;33;90;0.1889;0.3667;1.0000
АКРОН;"Торговый дом ""ПЕРЕКРЕСТОК";12;0;0;12;0.0000;0.0000;1.0000
Аксенов Владимир Владимирович;"Торговый дом ""ПЕРЕКРЕСТОК";2;0;0;2;0.0000;0.0000;1.0000
ШТРАУС;ЭССЕН Логистик;2;2;2;2;1.0000;1.0000;1.0000
ШТРАУС;Элемент-Трейд;3;3;3;3;1.0000;1.0000;1.0000
Аксиома;Т и К Продукты;5;0;5;5;0.0000;1.0000;1.0000
Аксиома;"Торговый дом ""ПЕРЕКРЕСТОК";1;1;1;1;1.0000;1.0000;1.0000
Шишкин Лес Торг;"Торговый Дом ""РеалЪ";1;1;1;1;1.0000;1.0000;1.0000
АЛЕКС ТОЙЗ;ТАНДЕР;27;27;27;27;1.0000;1.0000;1.0000
Алекс-Фрут;ДИКСИ ЮГ;1;1;1;1;1.0000;1.0000;1.0000
Шишкин Лес Торг;"Торговый дом ""ПЕРЕКРЕСТОК";147;147;147;147;1.0000;1.0000;1.0000
Шишкин Лес Торг;Т и К Продукты;3;0;3;3;0.0000;1.0000;1.0000
Шишкин Лес Торг;Розничная сеть Зельгрос;16;0;16;16;0.0000;1.0000;1.0000
АЛКО-СК;ТАНДЕР;7;7;7;7;1.0000;1.0000;1.0000
Шитов Николай Петрович;"Торговый дом ""ПЕРЕКРЕСТОК";4;4;4;4;1.0000;1.0000;1.0000
Шиндина Надежда Ивановна;"Торговый дом ""ПЕРЕКРЕСТОК";20;0;20;20;0.0000;1.0000;1.0000
Шелфер;СКБ Контур;4;0;0;4;0.0000;0.0000;1.0000
Шекультиров Муса Магаметович;"Торговый дом ""ПЕРЕКРЕСТОК";411;411;389;411;1.0000;0.9465;1.0000
Алтек Трейд;"Торговый дом ""ПЕРЕКРЕСТОК";2;2;0;2;1.0000;0.0000;1.0000
Шахунское молоко;Лента;377;377;377;377;1.0000;1.0000;1.0000
"1 Салат";Т и К Продукты;46;46;46;46;1.0000;1.0000;1.0000
АЛЬТАИР;Спектр Групп;2;0;0;2;0.0000;0.0000;1.0000
АльтерВЕСТ XXI век;Смарт Велью Ритейл;8;8;8;8;1.0000;1.0000;1.0000
"Чувашхлебопродукт"" в интересах филиала ""Чебоксарский элеватор""";СКБ Контур;1;0;0;1;0.0000;0.0000;1.0000
АЛЬТЕРВЕСТ ТРЕЙД;"Торговый дом ""ПЕРЕКРЕСТОК";3;3;3;3;1.0000;1.0000;1.0000
АЛЬТЕРНАТИВА;Розничная сеть Зельгрос;25;0;25;25;0.0000;1.0000;1.0000
Чистопольский хлебозавод;ЭССЕН Логистик;4;4;0;4;1.0000;0.0000;1.0000
Чистопольский хлебозавод;Табыш;77;77;10;77;1.0000;0.1299;1.0000
Чистопольский хлебозавод;ОПТОВИК;60;60;8;60;1.0000;0.1333;1.0000
Альфа Трейд;Т и К Продукты;9;6;8;9;0.6667;0.8889;1.0000
Альфа-Трейд;ТАНДЕР;19;19;19;19;1.0000;1.0000;1.0000
Альфапак 2000;Компания Холидей;7;0;0;7;0.0000;0.0000;1.0000
АМА-КОНФИ;Солнечный круг;46;46;46;46;1.0000;1.0000;1.0000
Чистомол;Т и К Продукты;13;13;13;13;1.0000;1.0000;1.0000
АмидаКосметик;Розничная сеть Зельгрос;11;11;11;11;1.0000;1.0000;1.0000
"АМК ""Рязанский";Виктория Балтия;13;0;0;13;0.0000;0.0000;1.0000
Чипита Санкт-Петербург;ДИКСИ ЮГ;36;36;36;36;1.0000;1.0000;1.0000
Чечельницкая  Анастасия Александровна;"Торговый дом ""ПЕРЕКРЕСТОК";56;56;41;56;1.0000;0.7321;1.0000
"АМК ""Рязанский";Розничная сеть Зельгрос;88;0;88;88;0.0000;1.0000;1.0000
"АМК ""Рязанский";СКБ Контур;77;0;77;77;0.0000;1.0000;1.0000
"АМК ""Рязанский";ТАНДЕР;203;203;203;203;1.0000;1.0000;1.0000
Чернышихинский мясокомбинат;"Торговый дом ""ПЕРЕКРЕСТОК";33;0;0;33;0.0000;0.0000;1.0000
АМС Медиа;Авоська – два;4;0;4;4;0.0000;1.0000;1.0000
Чернышихинский мясокомбинат;Лента;57;0;0;57;0.0000;0.0000;1.0000
Черноголовский источник;"Торговый дом ""ПЕРЕКРЕСТОК";334;331;333;334;0.9910;0.9970;1.0000
